scenario,variant,replicate,binary_path,threads,db_mode,query_path,reference_source,output_path,output_rows,internal_db_phase_label,internal_db_phase_sec,internal_query_map_sec,internal_post_map_sec,wall_sec,user_cpu_sec,system_cpu_sec,cpu_percent,max_rss_kb,fs_inputs_blocks,fs_outputs_blocks,major_page_faults,minor_page_faults,voluntary_ctx_switches,involuntary_ctx_switches
half_nosketch_t1,old_release,1,fastANI_clean/FastANI/build/fastANI,1,build_reference_in_run,tests/data/Shigella_flexneri_2a_01.fna,benchmark/genome-list_half_random.txt,benchmark/half_nosketch_t1_old_release_rep1.out,305,reference_build,70.4279,34.7876,0.0305084,133.46,119.63,2.72,91,4252988,0,2120,0,760359,32531,1793
half_nosketch_t1,old_release,2,fastANI_clean/FastANI/build/fastANI,1,build_reference_in_run,tests/data/Shigella_flexneri_2a_01.fna,benchmark/genome-list_half_random.txt,benchmark/half_nosketch_t1_old_release_rep2.out,305,reference_build,70.3283,34.9633,0.0304913,135.22,119.60,2.77,90,4253028,0,1840,0,760338,32374,1756
half_nosketch_t1,old_release,3,fastANI_clean/FastANI/build/fastANI,1,build_reference_in_run,tests/data/Shigella_flexneri_2a_01.fna,benchmark/genome-list_half_random.txt,benchmark/half_nosketch_t1_old_release_rep3.out,305,reference_build,71.3946,34.7513,0.0306832,137.4,120.32,2.73,89,4254892,0,2208,0,760334,32467,1755
half_nosketch_t1,new_release,1,build/fastANI,1,build_reference_in_run,tests/data/Shigella_flexneri_2a_01.fna,benchmark/genome-list_half_random.txt,benchmark/half_nosketch_t1_new_release_rep1.out,305,reference_build,70.0246,22.0121,0.0236765,123.07,106.53,2.54,88,4267868,0,1944,0,756998,32418,1773
half_nosketch_t1,new_release,2,build/fastANI,1,build_reference_in_run,tests/data/Shigella_flexneri_2a_01.fna,benchmark/genome-list_half_random.txt,benchmark/half_nosketch_t1_new_release_rep2.out,305,reference_build,70.3955,21.8817,0.023687,121.71,106.39,2.62,89,4268936,0,1824,0,756891,32375,3065
half_nosketch_t1,new_release,3,build/fastANI,1,build_reference_in_run,tests/data/Shigella_flexneri_2a_01.fna,benchmark/genome-list_half_random.txt,benchmark/half_nosketch_t1_new_release_rep3.out,305,reference_build,69.5229,21.9481,0.0236429,121.09,107.12,2.70,90,4267636,0,2352,0,756034,32459,1719
half_sketch_t8,standard,1,build/fastANI,8,load_prebuilt_sketch,tests/data/Shigella_flexneri_2a_01.fna,benchmark/publication_half_t8_sketch,benchmark/half_sketch_t8_standard_rep1.out,1015,sketch_load,3.83365,3.0284,0.00263418,9.62,50.30,5.52,579,5269844,3087496,384,0,1041767,124756,147
half_sketch_t8,standard,2,build/fastANI,8,load_prebuilt_sketch,tests/data/Shigella_flexneri_2a_01.fna,benchmark/publication_half_t8_sketch,benchmark/half_sketch_t8_standard_rep2.out,1015,sketch_load,3.26433,3.01723,0.00306677,11.55,52.63,5.52,503,5271200,0,360,0,1042923,125644,259
half_sketch_t8,standard,3,build/fastANI,8,load_prebuilt_sketch,tests/data/Shigella_flexneri_2a_01.fna,benchmark/publication_half_t8_sketch,benchmark/half_sketch_t8_standard_rep3.out,1015,sketch_load,3.28757,3.02506,0.00306789,11.17,52.31,5.41,516,5271160,0,376,0,1041896,123106,177
half_sketch_t8,low_memory,1,build/fastANI,8,load_prebuilt_sketch_low_memory,tests/data/Shigella_flexneri_2a_01.fna,benchmark/publication_half_t8_sketch,benchmark/half_sketch_t8_low_memory_freqopt_rep1.out,1015,sketch_load,2.45603,2.8265,0.00261632,47.18,45.95,1.08,99,727064,0,584,0,150289,49,93
half_sketch_t8,low_memory,2,build/fastANI,8,load_prebuilt_sketch_low_memory,tests/data/Shigella_flexneri_2a_01.fna,benchmark/publication_half_t8_sketch,benchmark/half_sketch_t8_low_memory_freqopt_rep2.out,1015,sketch_load,2.41984,2.82065,0.00263672,46.83,45.68,1.02,99,727060,0,544,0,149267,42,94
half_sketch_t8,low_memory,3,build/fastANI,8,load_prebuilt_sketch_low_memory,tests/data/Shigella_flexneri_2a_01.fna,benchmark/publication_half_t8_sketch,benchmark/half_sketch_t8_low_memory_freqopt_rep3.out,1015,sketch_load,2.4313,2.819,0.00262652,47.04,45.81,1.09,99,726812,0,544,0,149773,43,106
